age_group,income_level,subscription_type,platform,region,target
teen,low,free,mobile,asia,0
adult,high,premium,pc,us,1
young_adult,medium,trial,console,europe,1
senior,low,free,pc,india,0
adult,medium,premium,vr,asia,1
teen,high,trial,mobile,europe,1
young_adult,low,free,console,africa,0
senior,medium,premium,pc,us,1
adult,low,trial,mobile,india,0
teen,medium,premium,vr,europe,1
young_adult,high,free,pc,asia,1
senior,low,trial,console,us,0
adult,medium,free,mobile,africa,0
teen,high,premium,pc,india,1
young_adult,medium,trial,vr,europe,1
